tau,VACF
7.999999999999976e-14,0.011886352070395578
7.9999999999999811e-14,0.049123287398084081
7.9999999999999861e-14,0.11175292734323493
7.9999999999999912e-14,0.08074815961571806
7.9999999999999937e-14,0.029731532356859866
7.9999999999999962e-14,0.10576475802393981
7.9999999999999987e-14,0.11684047993348451
8e-14,0.21142955494268506
8.0000000000000013e-14,0.091846284063736211
8.0000000000000025e-14,0.039591963990835477
8.0000000000000038e-14,0.017942620841878497
8.0000000000000063e-14,0.022542684062923882
8.0000000000000164e-14,0.022161541953229221
8.0000000000000265e-14,0.032512163688549256
8.0000000000000366e-14,0.021171758381130074
8.0000000000000467e-14,0.020750950116997412
8.0000000000000568e-14,0.030289530146727119
8.0000000000000669e-14,0.019593263251128503
8.000000000000077e-14,0.028394201533089986
8.0000000000000871e-14,0.018190473333427316
8.0000000000000972e-14,0.017519570607322409
8.0000000000001073e-14,0.024809892906795469
8.0000000000001174e-14,0.015358224152722266
8.0000000000001275e-14,0.014166605724251439
8.0000000000001376e-14,0.023053606314699483
8.0000000000001578e-14,0.0049340041741793433
8.0000000000001679e-14,0.13745654715154862
8.000000000000178e-14,0.0061503164647535623
8.0000000000001881e-14,0.012006892611711008
8.0000000000002082e-14,0.053357981220830346
8.0000000000002284e-14,0.079132108409864677
8.0000000000002486e-14,0.069907859884417112
8.0000000000002688e-14,0.074614440955340186
8.000000000000289e-14,0.069265457668830702
8.0000000000003092e-14,0.067533026275036281
8.0000000000003294e-14,0.053074461147171403
8.0000000000003496e-14,0.064388314888196435
8.0000000000003698e-14,0.065661623735835811
8.00000000000039e-14,0.058753751673639505
8.0000000000004102e-14,0.054977081652941191
8.0000000000004304e-14,0.054126084077637096
8.0000000000004506e-14,0.070018535106140242
8.0000000000004708e-14,0.049588768495390394
8.000000000000491e-14,0.051747114836518629
8.0000000000005112e-14,0.053649120011980828
8.0000000000005314e-14,0.047581708046951561
8.0000000000005516e-14,0.016125212261275938
8.9999999999999768e-14,0.010704278245651589
8.9999999999999818e-14,0.065572320397294742
8.9999999999999869e-14,0.08021458055383214
8.9999999999999919e-14,0.10508438993755627
8.9999999999999945e-14,0.041335773971940104
8.999999999999997e-14,0.052470457938058379
8.9999999999999995e-14,0.19332197656329361
9.0000000000000008e-14,0.15672190378694054
9.000000000000002e-14,0.094920368075532571
9.0000000000000033e-14,0.017535039951444537
9.0000000000000121e-14,0.019756998374090777
9.0000000000000222e-14,0.028897075430422206
9.0000000000000323e-14,0.018759196739601112
9.0000000000000424e-14,0.018339110647949908
9.0000000000000525e-14,0.026679242999061787
9.0000000000000626e-14,0.017196384254807955
9.0000000000000727e-14,0.024825130889942384
9.0000000000000828e-14,0.015837678777215831
9.0000000000000929e-14,0.015198283327275294
9.000000000000103e-14,0.021417232569395088
9.0000000000001131e-14,0.013188755318064039
9.0000000000001232e-14,0.012117815764086706
9.0000000000001333e-14,0.019749550504237372
9.0000000000001535e-14,-0.0046244800197769893
9.0000000000001636e-14,0.12250283667826969
9.0000000000001737e-14,0.011595718409677836
9.0000000000001838e-14,0.015110898270568359
9.000000000000204e-14,0.018969323234535752
9.0000000000002242e-14,0.076686752412469472
9.0000000000002444e-14,0.069391000083600343
9.0000000000002646e-14,0.070483828867401163
9.0000000000002848e-14,0.063886831594762855
9.000000000000305e-14,0.061750971710041423
9.0000000000003252e-14,0.048456913967646238
9.0000000000003454e-14,0.058674359795509612
9.0000000000003655e-14,0.055866734349335243
9.0000000000003857e-14,0.056221870049249417
9.0000000000004059e-14,0.040324468670835813
9.0000000000004261e-14,0.056305703229617289
9.0000000000004463e-14,0.045778909345180918
9.0000000000004665e-14,0.058730288812542629
9.0000000000004867e-14,0.033148924335449984
9.0000000000005069e-14,0.058080469931547904
9.0000000000005271e-14,0.028163676402140785
9.0000000000005473e-14,0.026345563178505262
9.9999999999999776e-14,0.019343435374029275
9.9999999999999826e-14,0.050469305939709261
9.9999999999999877e-14,0.1020354694882291
9.9999999999999927e-14,0.069056316259403991
9.9999999999999953e-14,0.0517577124201474
9.9999999999999978e-14,0.054945824678355557
9.999999999999999e-14,0.045552995225895676
1e-13,0.2316050325865168
1.0000000000000002e-13,0.10245401433388379
1.0000000000000003e-13,0.033606290684177892
1.0000000000000008e-13,0.017855233130376146
1.0000000000000018e-13,0.026036854034015285
1.0000000000000028e-13,0.016850337592341672
